iter	Passed	Remaining
0	0	713
1	1	641
2	1	655
3	2	651
4	3	650
5	3	643
6	4	641
7	5	651
8	5	655
9	6	639
10	7	637
11	7	636
12	8	630
13	8	624
14	9	616
15	9	612
16	10	610
17	11	606
18	11	602
19	12	600
20	12	594
21	13	596
22	13	592
23	14	592
24	15	590
25	15	588
26	16	583
27	16	581
28	17	582
29	17	581
30	18	582
31	19	581
32	19	580
33	20	578
34	20	578
35	21	579
36	22	577
37	22	575
38	23	574
39	23	572
40	24	571
41	25	571
42	25	571
43	26	570
44	26	568
45	27	568
46	27	565
47	28	562
48	28	561
49	29	560
50	30	559
51	30	558
52	31	558
53	31	557
54	32	556
55	32	555
56	33	556
57	34	555
58	34	553
59	35	552
60	35	551
61	36	550
62	37	550
63	37	549
64	38	549
65	38	549
66	39	549
67	40	548
68	40	546
69	41	546
70	41	545
71	42	544
72	42	543
73	43	543
74	43	542
75	44	541
76	45	541
77	45	540
78	46	540
79	46	538
80	47	538
81	48	537
82	48	537
83	49	537
84	49	537
85	50	539
86	51	539
87	52	539
88	52	538
89	53	538
90	53	537
91	54	536
92	54	536
93	55	536
94	56	534
95	56	534
96	57	534
97	57	533
98	58	533
99	59	531
100	59	530
101	60	529
102	60	528
103	61	527
104	61	526
105	62	526
106	62	525
107	63	524
108	64	523
109	64	522
110	65	521
111	65	521
112	66	520
113	66	519
114	67	519
115	68	518
116	68	519
117	69	518
118	69	517
119	70	516
120	70	513
121	71	512
122	71	511
123	72	509
124	72	508
125	73	507
126	73	505
127	74	504
128	74	504
129	75	504
130	75	503
131	76	502
132	76	501
133	77	500
134	77	498
135	78	498
136	78	496
137	79	496
138	80	495
139	80	495
140	81	495
141	81	494
142	82	493
143	82	492
144	83	491
145	83	490
146	84	489
147	84	488
148	85	487
149	85	485
150	86	484
151	86	483
152	87	482
153	87	482
154	88	481
155	88	480
156	89	479
157	89	478
158	90	477
159	90	476
160	91	475
161	91	474
162	92	473
163	92	471
164	93	470
165	93	470
166	94	470
167	94	469
168	95	468
169	95	467
170	96	466
171	96	465
172	97	464
173	97	463
174	98	462
175	98	461
176	99	460
177	99	459
178	100	459
179	100	458
180	101	458
181	101	457
182	102	456
183	102	455
184	103	454
185	103	453
186	104	452
187	104	451
188	105	451
189	105	450
190	106	449
191	106	449
192	107	448
193	107	447
194	108	447
195	108	446
196	109	445
197	109	444
198	110	444
199	110	443
200	111	442
201	111	441
202	112	440
203	112	440
204	113	439
205	113	438
206	114	437
207	114	436
208	115	436
209	115	435
210	116	434
211	116	433
212	117	432
213	117	432
214	118	431
215	118	430
216	119	429
217	119	429
218	120	428
219	120	427
220	121	426
221	121	426
222	122	425
223	122	426
224	123	425
225	123	424
226	124	424
227	125	423
228	125	423
229	126	422
230	126	422
231	127	421
232	127	420
233	128	419
234	128	418
235	129	418
236	129	417
237	130	416
238	130	415
239	131	414
240	131	414
241	132	414
242	132	413
243	133	412
244	133	411
245	134	411
246	134	410
247	135	409
248	135	409
249	136	408
250	136	407
251	137	407
252	137	407
253	138	407
254	139	406
255	139	406
256	140	405
257	140	405
258	141	404
259	141	403
260	142	403
261	142	402
262	143	402
263	144	401
264	144	401
265	145	400
266	145	400
267	146	399
268	146	398
269	147	397
270	147	397
271	148	396
272	148	395
273	149	395
274	149	394
275	150	394
276	150	393
277	151	393
278	152	393
279	152	392
280	153	392
281	153	391
282	154	391
283	155	391
284	155	390
285	156	389
286	156	389
287	157	388
288	157	388
289	158	387
290	159	387
291	159	387
292	160	386
293	160	386
294	161	385
295	161	384
296	162	384
297	163	384
298	163	383
299	164	383
300	164	382
301	165	382
302	165	381
303	166	381
304	166	380
305	167	379
306	167	379
307	168	378
308	168	377
309	169	377
310	170	377
311	170	376
312	171	376
313	171	375
314	172	375
315	173	374
316	173	373
317	174	373
318	174	372
319	175	372
320	175	371
321	176	371
322	176	370
323	177	370
324	178	369
325	178	369
326	179	368
327	179	367
328	180	367
329	180	366
330	181	365
331	181	365
332	182	364
333	182	364
334	183	364
335	184	363
336	184	363
337	185	362
338	185	361
339	186	361
340	186	360
341	187	360
342	187	359
343	188	358
344	188	358
345	189	358
346	190	357
347	190	357
348	191	356
349	191	356
350	192	355
351	192	354
352	193	354
353	193	353
354	194	352
355	194	352
356	195	351
357	195	351
358	196	350
359	196	350
360	197	349
361	197	348
362	198	348
363	198	347
364	199	347
365	199	346
366	200	345
367	201	345
368	201	344
369	202	344
370	202	344
371	203	343
372	203	342
373	204	342
374	204	341
375	205	340
376	205	340
377	206	339
378	206	339
379	207	338
380	208	338
381	208	337
382	209	337
383	209	336
384	210	335
385	210	335
386	211	334
387	211	333
388	212	333
389	212	332
390	213	332
391	213	331
392	214	331
393	215	330
394	215	330
395	216	329
396	216	329
397	217	328
398	217	327
399	218	327
400	218	326
401	219	326
402	219	325
403	220	325
404	221	324
405	221	324
406	222	323
407	222	322
408	223	322
409	223	321
410	224	321
411	224	320
412	225	320
413	225	319
414	226	318
415	226	318
416	227	318
417	228	317
418	228	317
419	229	316
420	229	315
421	230	315
422	230	314
423	231	314
424	231	313
425	232	313
426	233	312
427	233	312
428	234	311
429	234	311
430	235	310
431	235	309
432	236	309
433	236	308
434	237	308
435	237	307
436	238	307
437	238	306
438	239	306
439	240	305
440	241	305
441	241	305
442	242	304
443	242	304
444	243	303
445	243	302
446	244	302
447	244	301
448	245	301
449	246	300
450	246	300
451	247	299
452	247	299
453	248	298
454	248	298
455	249	297
456	250	297
457	250	296
458	251	295
459	251	295
460	252	294
461	252	294
462	253	293
463	254	293
464	254	292
465	255	292
466	255	291
467	256	291
468	256	290
469	257	290
470	258	289
471	258	289
472	259	288
473	259	288
474	260	287
475	260	287
476	261	286
477	261	286
478	262	285
479	262	284
480	263	284
481	264	283
482	264	283
483	265	282
484	265	282
485	266	281
486	266	281
487	267	280
488	268	280
489	268	279
490	269	278
491	269	278
492	270	277
493	270	277
494	271	276
495	272	276
496	272	275
